ip:port,protocol,country,anonymity
213.202.230.241:80,http,Germany,anonymous
116.203.28.43:80,http,Germany,anonymous
95.164.89.123:8888,http,Germany,anonymous
128.140.26.12:80,http,Germany,anonymous
191.101.80.162:80,http,Germany,anonymous
146.190.177.143:80,http,Germany,elite
35.207.123.94:80,http,Germany,elite
51.75.74.18:80,http,Germany,elite
167.172.96.213:80,http,Germany,elite
46.101.115.59:80,http,Germany,elite
141.147.9.254:80,http,Germany,anonymous
82.165.105.48:80,http,Germany,elite
103.113.71.230:1080,socks4,Germany,anonymous
